Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Designs and develops interactive technology products and services. Products include a grid-based music sequencing software and services include interactive museum displays, touch-screen programs for stores and mobile interactive programs.",Out,Out,Software,Circlechop,2010,5929827.72,456.00%,10067070.27
"Provides a wide range of IT services, including product engineering, migration, process outsourcing, consulting, cloud computing, business intelligence, staffing, and mobile development.",In,Out,IT Services,Itemswazzed,2004,1417655.96,368.00%,8893687.8
"Delivers database managed services, including database administration, staffing and emergency support to nearly 300 mid-sized to Fortune 100 businesses.",In,Out,IT Services,Sparrowchorizo,2011,3439228.49,480.00%,8163038.48
"Provides executive search and contract staffing services in the private, public and health care sectors.",Out,Out,Human Resources,Forcepdark,2013,5768330.56,508.00%,7159823.68
"A consultant in environmental services, energy and climate change services, IT and intelligence for major utilities, heavy industries, private sector and government agencies. Redhorse integrates information and technology with analysis and behavior to improve decision making, optimize operations, reduce ris, and help customers achieve their performance goals.",Out,Out,Engineering,Corylisten,2010,7718965.6,373.00%,8625291.85
"A consulting and professional services corporation providing services in public health science, bioinformatics and health IT.",In,Out,Health,Pumpkinmothers,2011,4500699.86,312.00%,9837181.66
Provides Netsuite integration connectors to solve end-to-end business processes that span multiple applications. It offers a mix of pre-built SmartConnectors and custom integrations for over 900 customers.,Out,Out,Software,Matcapillary,2011,5293164.2,343.00%,10056895.21
"Designs, installs, and maintains commercial and residential solar and electrical systems.",Out,Out,Construction,Presslute,2011,4669809.87,407.00%,10618249.06
"Builds user-centered digital interactions like mobile apps, multi-screen optimized websites and enterprise scale e-commerce for its clients.",In,Out,Advertising & Marketing,Infieldercub,2010,1356437.9,330.00%,7599716.23
Distributes energy efficient medium- and high-voltage equipment to major utilities in the Detroit area to help commercial and residential customers decrease energy consumption.,Out,Out,Energy,Clapperstrict,2013,6201381.19,434.00%,12998016.68
"Designs, manufactures and distributes public terminal systems and digital signage products to Fortune 100 companies and various US government branches. Its kiosk configurations are used in more than 35 industries including health care, hospitality and security.",In,Out,Computer Hardware,Latvianemployment,2014,1729823.43,344.00%,7914058.84
"Provides search and digital marketing services including PPC, SEO, social media marketing, comparison shopping and feed management, display advertising and multichannel attribution management services.",In,Out,Advertising & Marketing,Isstreets,2010,2355699.6,458.00%,8125954.02
"Designs and sells durable linen and leather handbags, as well as coordinating scarves, beach towels and jewelry.",In,Out,Retail,Wealthabounding,2012,2191140.01,402.00%,5463764.89
A software development and implementation firm that resells and implements ERP software for the manufacturing and distribution industries.,In,Out,Software,Cleavagesling,2012,1267421.84,373.00%,12902155.84
"Provides tailored technology services to organizations in the areas of technology support, cloud computing, data backup and recovery, network security, server virtualization, VoIP phones, website design, and project management.",In,Out,IT Services,Laboredshocked,2008,1876605.82,233.00%,12010459.5
"Offers technological services to an array of international clients in the areas of engineering, IT, outsourcing, strategic planning, cyber security and government services.",Out,In,IT Services,Appaloosasmiling,2010,4750543.08,598.00%,10744688.15
"Provides court reporting, legal videography, ESI processing, Web-based document depositories and trial presentation and consulting services in Nevada and Arizona.",In,In,Business Products & Services,Wimpleddrift,2012,4138631.97,769.00%,8836311.51
An online retail company focused on technology and software services to drive efficiency.,In,Out,Retail,Clasticmach,2014,968517.83,448.00%,10501868.94
"A boutique agency specializing in online and TV media buying for clients in music, fashion and film.",Out,Out,Advertising & Marketing,Moldsare,2013,5442957.14,435.00%,8527366.11
"Provides IT and enterprise software consulting services, using SAP and Oracle products including ERP, mobility and business intelligence applications.",Out,Out,IT Services,Expandcostgullible,2012,7237383.41,210.00%,9164882.88
"Provides landscaping maintenance to commercial properties, major landscaping installations and snow removal services.",In,Out,Construction,Hypergalaxypegasus,2009,2005195.4,392.00%,9127758.76
"Manufactures fiber optic equipment specializing in quality, cost-effective, OEM-compatible optical transceivers.",Out,Out,Telecommunications,Snashacceptor,2012,5775683.67,462.00%,8328299.92
"A business management service that offers employee benefits, an internal gym and a travel service among other services to ensure business' employees feel valued.",Out,Out,Human Resources,Famousknucklehead,2010,5010013.31,438.00%,9996205.19
"A design, print and mailing company that specializes in creating industry-specific marketing programs centered around a consistent weekly marketing message.",In,Out,Advertising & Marketing,Collarbonebad,2012,3974949.92,298.00%,9426850.14
"A professional staffing and consulting firm that provides staff augmentation, contractors and direct hire placements for positions in IT, project management and change management.",In,Out,Human Resources,Cateredsweep,2012,3545234.38,316.00%,9867522.49
Provides information technology engineering and management services to help solve customer problems through technology.,In,Out,IT Services,Rageenvious,2009,3330828.71,455.00%,7501734
"Designs and delivers energy optimization services for electric, gas and water utility companies as well as residential, institutional and industrial organizations.",In,Out,Energy,Rowsitem,2014,4126472.17,493.00%,7323171.19
"A professional consulting firm delivering EPCM services, field service products and pipeline services to the energy industry",In,Out,Energy,Falterfeline,2013,4104330.72,447.00%,8221812.27
A health and wellness company in the household and personal care space creating products exclusively for babies. Its home cleaning and child care products are made of ingredients that create a baby-safe world for them to be able to openly explore.,Out,Out,Health,Rinkmusic,2013,7331420.5,430.00%,11533497.72
"Provides strategic HR and employee benefits communications, including marketing communication strategy, custom websites and print campaigns.",Out,Out,Human Resources,Positiveneptunium,2010,6223234.39,277.00%,7708852.18
"A chain of classic and used video game stores that offers more than 10,000 games, systems and accessories per store for old game machines such as Atari 2600, Intellivision and NES.",Out,Out,Retail,Scoreboardchaos,2013,7065343.23,372.00%,8595811.58
"A telecommunications provider delivering objective technical consulting on wide area networking, Internet and local/long distance voice needs.",In,Out,Telecommunications,Stimulusbison,2012,4620772.69,406.00%,7646747.78
"A warehousing, distribution and inventory management company that includes private label products, business analytics services and new product development.",In,Out,Business Products & Services,Landmarksbutters,2010,4086523.06,486.00%,8330995.63
"A psychiatric hospital system exclusively focused on eating disorders, providing the full spectrum of treatment services to adults, adolescents, children and their families.",In,Out,Health,Picklescrudivore,2010,563500.24,329.00%,9295570.9
"Operates 27 pawn and jewelry shops throughout central Florida, south Florida and Puerto Rico. La Familia's stores offer pawn loans and access to banking services such as bill pay, Western Union transactions and pre-paid debit cards.",In,Out,Financial Services,Pausehydrocarbon,2012,2250021.64,345.00%,6759408.88
Offers IT staffing and consulting and software development and customization.,In,Out,IT Services,Neodymiumscandalous,2011,4248247.4,330.00%,8022421.36
"A technology consulting firm that provides cyber security, data visualization and program management for federal agencies and commercial clients in many industries, including financial services, healthcare and utilities.",Out,Out,IT Services,Februaryvanadium,2010,5531003.71,305.00%,7775649.91
"A professional landlord service that helps property owners and investors rent and manage their residential real estate. It offers services for landlords including rent protection, property protection and eviction protection.",Out,Out,Real Estate,Holdelongation,2011,4794983.82,404.00%,10885081.09
Provides comprehensive corporate fitness and wellness programs to more than 4.5 million employees nationwide.,In,Out,Health,Avogadroethanoate,2010,4191046.22,351.00%,10926953.81
Provides practice management and marketing tools for financial advisors nationwide.,Out,Out,Financial Services,Assuredcarbon,2010,6368406.85,474.00%,9401137.77
"Provides comprehensive audio-visual services to businesses. Services include consulting, integrated systems and maintenance.",In,Out,Business Products & Services,Indignantant,2011,2803618.11,383.00%,8744403.87
"An interactive health supplement retailer that distributes natural supplements through a secure and friendly interactive online shopping environment, offering daily free shipping on more than 45,000 products. Its staff works with a board of healthcare advisors, naturopaths and chiropractors to keep up to date with customers' needs and healthcare industry trends.",Out,Out,Health,Annoyhog,2009,5494846.62,337.00%,12729197.65
An e-commerce retailer that shows online video demonstrations of the home goods and electronics that it ships from its warehouse.,Out,Out,Retail,Dingalingflee,2011,6187326.39,127.00%,10896887.37
A sport and social club that produces over 600 coed adult sports leagues in the US and abroad annually.,In,Out,Consumer Products & Services,Sawbeloved,2013,3173018.93,437.00%,8609333.82
Offers patient-centered and technology-focused funding and asset management for hospitals and medical providers. Its goal is to provide continuity of care for under-insured accident victims.,Out,Out,Health,Equalityshape,2006,7220454.63,495.00%,6324593.06
"A mortgage lender with retail, wholesale and correspondent business channels.",Out,Out,Financial Services,Kestrelpumpion,2011,6453819.75,351.00%,7023856.69
"Provides IT infrastructure engineering and support services to commercial customers, the federal government and the Department of Defense, including call center deployment and operations, virtual desktop infrastructure and IT logistics.",In,Out,IT Services,Mathassertive,2007,3549634.76,407.00%,5804178.21
A full-service marketing and public relations firm specializing in media relations for technology companies ranging in size from startups to enterprise-level.,In,Out,Advertising & Marketing,Annoyingsmack,2013,3315405.62,446.00%,11835820.05
Uses team support and technology to sell residential real estate in the Midwest.,Out,Out,Real Estate,Cockamamieergot,2010,6333864.61,304.00%,7914630.75
An online grass distributor that operates each of its divisions locally in order to ensure top quality product and delivery services.,Out,Out,Retail,Wightmuon,2013,7957743.42,552.00%,6773124.31
An open shop painting company providing painting contracting services to both the commercial and residential markets.,In,Out,Construction,Optimismexterior,2009,4316631.58,490.00%,8427019.81
"A consulting and training company specializing in digital marketing and Google Analytics as well as SEO. It features a hybrid business model that combines consulting, training and resale of software as a service.",In,Out,Business Products & Services,Exteriorknowing,2010,3770865.29,281.00%,5331296.42
A full-service engagement agency that specializes in creating marketing opportunities that specifically target consumers using various mediums.,Out,Out,Advertising & Marketing,Sireunit,2008,4747816.87,363.00%,9827577.35
"Specializes in assessing and repairing storm damage to roofs, siding and gutters caused by wind and hail.",In,Out,Construction,Shovelerablaze,1999,3570801.03,378.00%,6014863.89
"Develops and licenses staffing software and Web-based portal services that facilitate communication between recruiters, staffing agencies, employers and job candidates.",In,Out,Human Resources,Taskspuzzled,2008,2605135.34,432.00%,9867551.25
"Sells professional audio equipment for bands, Djs and churches created by the company.",In,Out,Retail,Posseratty,2014,1450080.33,427.00%,9361117.73
Buys unwanted life insurance policies and typically pays five to eight times more than the surrender value offered by the insurance company. GWG filed for an IPO in April 2014.,Out,Out,Insurance,Houryounger,2009,5239405.97,312.00%,5356146.69
"A veteran-owned IT provider with expertise in information operations, cybersecurity and logistics support services for combat systems and intelligence or surveillance operations.",Out,Out,IT Services,Freezehouses,2011,4786821.41,341.00%,8062367.57
"Manufactures and markets wide-plank wood floors that offer the look, feel and longevity of old-world European surfaces.",Out,In,Construction,Damedash,2012,5877332.61,561.00%,5215834.53
"A membership-based scrapbooking center that sells scrapbooking and card-making kits, features the work of craft designers and provides online support and encouragement for scrapbook and crafts enthusiasts.",In,Out,Consumer Products & Services,Valvespoon,2013,4411425.27,436.00%,7290680.82
"Works closely with clients to discover, design and implement customized wealth plans to meet individual goals. Krilogy currently has $300 million in fee-based assets under advisement.",Out,Out,Financial Services,Weepingwhisky,2012,4950688.61,302.00%,9779554.89
Provides IT services to mid-market and Fortune 500 companies focused on PeopleSoft/Oracle and systems application and products.,Out,Out,IT Services,Gianttempting,2001,6486426.78,282.00%,7713147.76
"Manufactures, distributes and sells all-natural dog treats and chews through its own e-commerce sites and through other retailers.",Out,Out,Consumer Products & Services,Vacuolesonerous,2012,5198669.49,358.00%,7747377.62
"Provides global staffing and consulting, business process outsourcing, supply chain optimization, and human capital management services.",Out,Out,Business Products & Services,Winepizz,2010,5307274.02,283.00%,7712286.82
An e-tailer that makes and sells promotional items online.,In,Out,Consumer Products & Services,Representpoppysmic,2011,2901232.74,429.00%,7143212.34
"A full-service Internet marketing company offering expertise in SEO, Web design and inbound marketing services.",In,Out,Advertising & Marketing,Christiecountry,2010,3876644.16,449.00%,6810094.2
"Provides IT Services and consulting support to federal, civilian and defense agencies.",In,Out,IT Services,Frillyshaving,2010,2442825.52,439.00%,8860540.32
"An IT consultancy that offers training, staffing, development and support with networking, applications and hardware.",Out,Out,IT Services,Clawasked,2012,5267074.97,336.00%,10883702.9
Offers digital media publications specializing in B2B marketing.,Out,Out,Media,Formulasbreathless,2011,5310234.21,411.00%,10683526.93
"Takes apart new TVs damaged during manufacturer-to-retailer shipping, sells the usable parts to technicians and consumers for repairs and recycles most of the remaining materials.",In,Out,Retail,Crystringed,2014,3649279.66,421.00%,10245078.34
"Builds SaaS applications that make it easy for companies with complex retail networks, such as those in the automotive and energy sectors, to pinpoint issues, determine how to improve them and evaluate their progress.",Out,Out,Software,Exactmunch,2009,6956848.64,372.00%,4723332.22
"Offers VoIP, DS3 and telephone systems services.",Out,Out,Telecommunications,Fatsodean,2001,5835513.94,449.00%,8462730.75
"Creates unique drinkware such as mugs, tumblers and kids' bottles.",Out,Out,Consumer Products & Services,Scarygout,2012,5553767.01,509.00%,7819708.18
"Provides recruitment services focused on technology, engineering, sales, marketing and executive positions.",In,Out,Human Resources,Delaycarriage,2010,3694395.29,527.00%,10172150.55
"An architecture and design firm that builds customized public, commercial and residential projects in Oregon.",Out,Out,Construction,Fatcoffle,2011,4829429.73,165.00%,9274105.08
"Offers meeting management and event technology services, having produced over 600 events in 40 countries in the last 15 years.",Out,Out,Business Products & Services,Charlesresearcher,2011,5174937.21,405.00%,7156172.12
Provides data powered lead generation for over 600 top B2B marketers using a database of millions of consumer purchase records.,In,Out,Advertising & Marketing,Adarabarr,2011,1791180.31,347.00%,8315625.56
"Produces artisan-made, handcrafted Italian salumi products using all natural ingredients and traditional methods and distributes them in the United States.",In,Out,Food & Beverage,Fowlwagger,2013,3177853.95,260.00%,12011988.13
"A digital marketing agency that focuses on extreme value creation for clients and partners. In special situations, it invests or co-invests in companies where digital marketing can change the business' growth curve.",Out,Out,Advertising & Marketing,Receivedhorn,2014,5078322.03,307.00%,11460205.44
Specializes in full scale home renovations and remodeling such as kitchen and bath remodels and construction of additional rooms in northern Virginia.,In,Out,Construction,Decoratorsdecipher,2011,3820510.5,251.00%,8982357.79
A technology platform for live video streaming that offers limited free services and expanded pay services to allow users to easily broadcast and share live experiences in real time.,Out,Out,Media,Curlgadolinium,2009,6045030.45,553.00%,11609079.12
Helps marketing and sales organizations optimize revenue impact by increasing the quality and effectiveness of their marketing database.,In,Out,Advertising & Marketing,Ima,2013,4314708.21,427.00%,11521257.21
Provides tailored banking and financial services to businesses and individuals in middle Tennessee.,In,Out,Financial Services,Semipermeability,2009,256985.13,318.00%,8928800.96
"Develops, owns and operates urban day conference centers in the United States. Business services include meeting and collaboration space rental, room service building catering and conference planning support.",Out,Out,Business Products & Services,Hydrolytic,2012,5976989.02,228.00%,10172365.33
"A commercial real estate development and management company that focuses on the turnaround of under-performing, strategically-located real estate assets.",In,Out,Real Estate,Delusive,2014,3252915.86,136.00%,7760144.56
"A developer-driven interactive production shop that engineers and executes websites, social media and mobile apps.",In,Out,Software,Unconsoling,2012,1735276.5,294.00%,11561482.03
"A federally-recognized Alaskan tribal-certified entity that provides network & systems engineering, program management and education services for both government and civilian entities.",In,Out,IT Services,Lipped,2009,2682893.67,412.00%,8275051.38
"Provides healthcare information management, including IT services and electronic medical record consulting and support.",In,Out,Health,Sweater,2014,3014081.13,346.00%,9127416.05
"A freestanding emergency room system that provides space, equipment and physicians for full, round-the-clock emergency services in Texas and Colorado.",In,Out,Health,Interpaving,2009,3344671.65,351.00%,11765508.08
A 3rd party appraisal company that facilitates orders from mortgage companies and assigns them to appraisers on a rotating random panel to ensure objectivity.,In,Out,Real Estate,Chenopod,2010,3620494.13,470.00%,8699079.54
"Designs and sells goods for the home from organic, sustainable materials, including bamboo viscose and organic cotton towels, sheets and bathrobes.",In,Out,Consumer Products & Services,Epiphyll,2002,893844.61,324.00%,8284586.66
"Owns websites that sell unique wire and cable, focusing on finding hard-to-get wire for customers who need it quickly and cannot get it locally.",In,Out,Business Products & Services,Age,2009,4138971.85,427.00%,12386572.1
Offers real estate brokerage and property management services for upscale residential properties in Hawaii.,In,Out,Real Estate,Hiding,2014,4431488.83,352.00%,8525468.95
"Provides ertified refurbished computers and parts to school districts nationwide. It also sells document cameras, interactive whiteboard products and has a Cash for Clunkers program for districts to discard old, obsolete computer equipment.",In,Out,Education,Pyretic,2007,4532743.77,377.00%,9633733.51
"A Google Adwords premier SMB partner that provides search, social and digital display advertising with a focus on local digital advertising to small and midsize businesses.",In,Out,Advertising & Marketing,Clupeoid,2004,4397741.05,311.00%,8340093.88
"A platinum Oracle PartnerNetwork member specializing in the design, implementation and maintenance of IT systems across the globe.",Out,Out,IT Services,Beetleheaded,2010,4971120.07,534.00%,8109836.81
Operates a proprietary platform that allows marketers to reach audiences based on the nuances of consumers' belief systems and values. It collects and uses consumer data to allow clients to build targeted online advertising campaigns.,Out,Out,Advertising & Marketing,Preworthy,2012,4895201.9,309.00%,9845857.29
"Operates a network of nutritional supplement retail stores which creates programs using weight management, sports nutrition and healthy aging products for customers.",Out,Out,Health,Fraternal,2012,4665587.17,447.00%,8811824.5
"A provider of cloud-based restaurant and specialty retail operating systems and mobile applications. Its services include POS intelligence, inventory management and employee scheduling.",Out,Out,Retail,Falbala,2012,6266037.29,352.00%,13880376.08
"A factory direct distributor of mattresses, toppers and mattress protectors that uses non-solvent-based adhesives and soy bean plant-based foams to reduce its environmental footprint.",Out,Out,Retail,Pomiculturist,2010,7221104.21,476.00%,6040353.32
"Helps create, optimize and maintain high-performing buildings by offering consulting and managed services in the areas of smart building technologies, energy & sustainability and integrated building design.",In,Out,Energy,Intermitted,2012,3034715.54,414.00%,6459796.36
"Provides siding installation and exterior finishing services to homeowners and residential builders. It specializes in installing vinyl siding and fiber cement siding, porch railings and vents.",In,Out,Construction,Nomarchy,2010,1485994.51,364.00%,14102177.39
"An online retailer of health and wellness products that specializes in foot, leg and orthopedic care.",In,In,Retail,Turboprop,2010,3533350.38,565.00%,10665971.74
Offers technology services to help businesses thrive in changing markets.,Out,Out,IT Services,Parhelion,2012,7451572.5,380.00%,8157679.24
Owns and operates two service businesses within the reverse logistics industry to address specific market niches such as Fortune 500/1000/2000 customers in the consumer package goods industry and customers in the electronics industry.,In,Out,Logistics & Transportation,Grammatical,1999,4085716.8,241.00%,10090617.05
"An IT and engineering services firm that offers technical, engineering and management services to government agencies and prime government contractors.",In,Out,IT Services,Protractile,1999,3834886.35,260.00%,8398614.87
Offers software consulting and development services to businesses all over the world through offshore and onsite services.,In,Out,IT Services,Precincts,2012,1394333.24,549.00%,7000186.65
"Provides sales, marketing and operations training for managed services and technology services providers.",Out,Out,IT Services,Hookiest,2005,5204052.72,306.00%,4691132.81
"Turns disparate data into actionable information using a cloud-based, scalable and customized population health management service.",In,Out,Health,Anarchical,2014,4385105.19,521.00%,8818758.55
"An IT organization focused on delivering converged voice & data networks, private & public cloud services and managed services.",In,Out,IT Services,Amphithalamus,2009,3922559.06,426.00%,9354654.75
"A recruiting firm that specializes in direct hire, contract to hire and contract opportunities for Arizona technicians and HR specialists.",Out,Out,Human Resources,Ortonville,2009,5121359.95,450.00%,13472151.79
"A direct importer and distributor of all-natural stone flooring and wall tiles, pavers, poolcopings, mosaics and related accessories through its own distribution centers throughout the United States. Its main product lines are consist of travertine, limestone and marble.",Out,Out,Consumer Products & Services,Silkiness,2014,5742810.92,409.00%,6017023.42
"An enterprise SaaS company focused on the consumer goods industry. Its flagship software, BluePlanner, offers a sales planning, trade promotion management and analytics platform for consumer packaged goods manufacturers.",In,Out,Software,Monotrichous,2011,3660170.89,316.00%,7203336.94
"Offers swim lessons for babies from 2 months old with their parents through competitive swim teams in its custom-built, modern and family-friendly facilities.",In,Out,Education,Strange,2004,3451219.6,311.00%,10651953.77
A technology services enterprise that services a global client base with a special focus on retail customers.,In,In,IT Services,Overstridden,2011,1422672,643.00%,9121713.26
"Delivers pricing expertise and technology to B2B companies by formulating customized, data-driven pricing models that improve internal processes and elevate internal pricing capabilities.",Out,Out,Business Products & Services,Zirconyl,2012,6796983.67,469.00%,9039117.64
"Provides design and construction services, specializing in commercial construction and real estate development for companies and individual businesses.",Out,Out,Construction,Cyaneous,2012,7818648.63,368.00%,7914721.54
Provides all types of loans to consumers for purchasing and refinancing homes.,Out,Out,Financial Services,Implorer,2009,7633954.93,406.00%,9321475.17
"Offers an innovative domestic sourcing business model designed to provide a cost-effective alternative to onsite or offshore application development, support and maintenance.",Out,Out,IT Services,Unexotically,2010,4919209.16,358.00%,8669802.3
A chain of restaurants across the Mid-Atlantic and Southeast that serves Mediterranean food. Zoes Kitchen went public in 2014.,In,Out,Food & Beverage,Millrind,2007,3994598.63,522.00%,9911498.72
"Custom manufactures airflow management products used globally in data centers to reduce their carbon footprint, operate more efficiently, and reduce energy costs. It also offers engineering, CFD modeling, and energy assessments.",In,Out,Manufacturing,Adequateness,2012,3750455.37,393.00%,10175411.89
"A personal injury firm that contributes to its community as well as to clients by contributing to over fifty nonprofit organizations, local schools and athletic programs.",Out,Out,Business Products & Services,Overrestraint,2010,8833010.94,519.00%,9754057.11
"Offers a blog, research and events on emerging technologies to humanize technology and provide insight into disruptive companies, people and trends.",Out,Out,Media,Interestingness,2014,5178766.98,371.00%,13849334.46
"Offers professional technology services and human capital management with a focus on executive search, corporate recruitment, retained and managed services, project management and project staffing.",Out,Out,Human Resources,Homologize,2014,9544997.18,454.00%,7336227.81
"A Microsoft Silver independent software vendor focused on helping organizations implement up-to-date Microsoft technologies and software tools to make IT administration easier, such as monitoring and reporting tools for key components including Exchange, SharePoint and Lync.",In,Out,Software,Badgeless,2011,4083751.95,452.00%,10297395.34
"Sells a wide range of products online, including home and garden, electronics, furniture, health and beauty, toys, and sports and fitness items.",In,Out,Retail,Aspic,2001,4645616.75,414.00%,8498414.15
"Partners with school districts to provide staffing and educational program services that positively impact student achievement, quality and fiscal efficiency.",Out,Out,Education,Subaverage,2012,8662529.77,479.00%,7577637.07
"Provides news and information for commercial realtors, including 32 e-newsletters, as well as creating 250 annual conferences that attract over 60,000 commercial real estate professionals every year.",In,Out,Real Estate,Glycopexis,2004,3450711.94,177.00%,9901620
"Offers loans for business, home buying, real estate development and construction, farming and agricultural production, home equity, and consumer credit, as well as a variety of commercial and consumer savings and deposit services.",Out,Out,Financial Services,Westminster,2010,7245126.24,361.00%,9861651.65
"A medically-managed practice of doctors, nurses and counselors that offers programs in weight loss, hormone therapy and cosmetic skincare procedures.",In,Out,Health,Suicided,2014,4519467.19,318.00%,7145863
"Provides wholesale, correspondent and residential loan origination channels. FGMC is approved by national mortgage lenders such as Ginnie Mae, HUD and FHA",In,Out,Financial Services,Tocantins,2009,4296073.81,324.00%,12330107.36
"Provides technical staffing services in the areas of IT, healthcare, telecommunications and engineering.",In,Out,Human Resources,Thiocyanate,2013,4357427,279.00%,5557477.14
"Offers products and services that combine identity authentication, background screening and access management to make facilities, assets and people safer and more secure. Clients include highly secure facilities such as military installations, government buildings and manufacturing and distribution sites.",In,Out,Security,Fibrillar,2010,3809634.89,366.00%,6985440.3
"Builds hiring, recruiting and staffing software for small to medium-sized businesses.",In,Out,Human Resources,Interreges,2010,2867024.47,431.00%,9514604.62
A worldwide commercial B2B debt collection agency that uses professional protocols to increase bad debt recovery and maintain client reputation.,In,Out,Financial Services,Exilarch,2011,4161452.22,408.00%,6957904.23
Provides regulatory and quality services that accelerate the success of medical device companies.,In,Out,Business Products & Services,Boxhaul,2012,1453487.93,238.00%,10007428.82
"Offers custom home building, kitchen bath remodeling and additions to its customers.",In,Out,Construction,Refertilization,2013,4498838.82,383.00%,10064296.78
"Provides constructive input in the managed care decision-making process, so that high-quality patient care can be achieved in the most cost effective manner. It also offers educational and advocacy opportunities that can assist IPA practices.",In,Out,Health,Asynchronous,2013,632756.03,501.00%,8720504.11
"Provides IT services including application development, project management and IT consulting to state governments and major corporations.",Out,Out,IT Services,Swedenborgism,2005,5949929.1,355.00%,10379241.52
"Provides IT consulting services including management, applications development, infrastructure, trial consulting and staffing services to a diverse mix of businesses.",Out,Out,IT Services,Outspruing,2012,5468575.21,174.00%,11909916.98
"Designs and manufactures packaging equipment used in assembly lines where food or industrial products are boxed, cartoned or case-packed.",In,Out,Manufacturing,Adenohypophysis,2010,3305523.45,351.00%,8241404.39
"Provides an e-commerce portal for Hispanic merchants to sell telecom-related products to their customers. Primary products are international long distance, international telecom replenishment services and text messaging.",In,Out,Telecommunications,Unvibrant,2013,2340753.46,243.00%,7110958.2
"Engineers, manufactures and sells rifles and small arms parts and accessories used by military, law enforcement and hunters.",Out,Out,Manufacturing,Outplan,2011,5253020.61,325.00%,7936183
A credit card and online payment processing service for attorneys that safeguards lawyers' funds in compliance with tax laws.,Out,Out,Financial Services,Unforegone,2009,5236510.95,368.00%,9732370.49
An online and mobile dating app developer that filed for an IPO in 2014.,In,Out,Consumer Products & Services,Unsported,2014,4604323.58,336.00%,9792270.96
An electricity supplier to residents and small businesses in 10 states with plans to expand into additional states.,In,Out,Energy,Clunk,2014,3236506.28,235.00%,9976024.89
"Specializes in the sale and service of new and used forestry equipment and heavy machinery, and sells parts online throughout the United States.",In,Out,Business Products & Services,Allongie,2008,4245496.2,538.00%,8749447.29
A private commercial real estate mortgage brokerage company that serves the national commercial real estate sector.,In,Out,Real Estate,Armet,2012,4401346.58,524.00%,8271015.62
"An innovative, full-service digital marketing agency that maximizes clients' online potential via custom Web development, SEO and social media engagement.",Out,In,Advertising & Marketing,Messrs,2013,6013866.05,628.00%,9542791.93
"Provides custom programming, website design and development and mobile app development. Growth Acceleration Partners also offers management and consulting, with projects managed locally and technical development outsourced to Costa Rica.",Out,Out,Software,Getable,2013,5763238.21,361.00%,9043049.1
"Offers commercially available balance sheet account reconciliation services. It provides quick-to-implement, scalable and easy-to-use applications that automate the entire financial close process to help improve financial controls for companies of all sizes, including Fortune 100 companies.",Out,Out,Software,Turbidimetry,2010,8007770.93,431.00%,11067223.02
"Provides 911, interfacility and critical care transport and event & air ambulance services. Symons Ambulance also provides nurses, physicians and urgent care services for large events such as concerts, motorsporting events and fairs.",Out,Out,Health,Federalistic,2007,6471604.24,417.00%,8108369.95
"An IT consultancy with a focus on the design and support of data-related services, including unified data storage, business continuity and disaster recovery architecture.",In,Out,IT Services,Williamsport,2013,3084696.74,497.00%,9366415.6
Provides Web-based enterprise risk management software and services.,Out,Out,Software,Unrebuilt,2007,4666039.64,270.00%,5422082.65
Provides electronic health record and billing platforms for the home care industry.,In,Out,Health,Outbraving,2011,3747352.09,442.00%,9116941.71
"Provides transportation services through an integrated network of full-truckload, inter-modal and less-than-truckload carriers throughout the US and Canada.",In,Out,Logistics & Transportation,Manchuria,2013,4408821.43,356.00%,7307945.07
"A veteran-owned engineering services company providing systems engineering, logistics engineering and program planning support to Department of Defense clients.",Out,Out,Government Services,Miscutting,2002,5731631.89,470.00%,10115274.02
A moving labor marketplace where people can shop for help loading or unloading their moving trucks or storage units and hire movers on a trial basis.,Out,Out,Logistics & Transportation,Interquarrelling,2009,6145134.04,554.00%,14732949.89
"Designs and manufactures custom messenger bags, backpacks, computer carrying cases, tote bags, laptop/tablet sleeves and related accessories.",In,Out,Consumer Products & Services,Tessiture,2011,4036130.49,261.00%,7389235.97
"A global, full service supply chain management consulting firm that helps client companies leverage Oracle edge services to transform the supply chain delivery cycle from product ideation to transportation and customer delivery.",In,Out,Business Products & Services,Consonantizing,2011,3340144.06,316.00%,10036465.65
Delivers 24/7/365 customized inbound customer service and outbound B2B lead generation programs to its clients.,In,Out,Business Products & Services,Turner,2011,3651825.71,362.00%,8133036.78
"A franchise development company focused on developing franchise systems in the service industry, especially technology, services and partnerships that help franchisees succeed.",In,Out,Business Products & Services,Unterwalden,2010,3895860.23,432.00%,8887502.76
"Makes specialty software for IT infrastructure change auditing to control unauthorized changes, prevent costly security breaches and sustain compliance.",In,Out,Software,Unsurmountable,2014,4262906.04,278.00%,9215507.98
"Delivers innovative therapy services to children with a variety of neurological and developmental needs, using a playful environment and a three week intensive therapy model.",In,Out,Health,Knock,2009,4602535.09,297.00%,8157191.02
"Manufactures and distributes gymnastics, ballet, fitness and children's therapy equipment.",Out,Out,Health,Superepoch,2011,7592416.59,451.00%,10253910.57
"Provides precision surveying and mapping services for transportation, telecommunications and public sector clients. Its primary services include professional land surveying, aerial mapping and photogrammetry and construction phase services.",In,Out,Engineering,Masquerade,2000,2131505.53,426.00%,9954470.61
